crop_slug,crop_name_en,crop_scientific,issue_slug,issue_name_en,issue_type,issue_severity,issue_scientific,issue_symptoms,product_sku,product_name,product_category,product_active_ingredients,product_certifications,dosage,application,frequency,pre_harvest_interval_days,precautions,notes_en,rank,approved_by
tomato,Tomato,Solanum lycopersicum,whitefly,Whitefly,pest,medium,Bemisia tabaci,curled leaves;yellowing;small white insects on underside;sticky honeydew;sooty mould,ECOZA-ACE-500,Ecoza™ Ace,bio-pesticide,Azadirachtin 1.2% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,1.5-2.5 ml per litre of water,Foliar spray on both sides of leaves,Every 7-10 days; 2-3 sprays,3,Wear mask and gloves;Spray in early morning or evening;Avoid strongly alkaline mixes,Azadirachtin disrupts whitefly molting and reduces egg viability; safe for pollinators when applied in low-light hours.,10,Dr. Krish
tomato,Tomato,Solanum lycopersicum,aphids,Aphids,pest,medium,Myzus persicae,sticky honeydew on leaves;curling and yellowing;sooty mould;stunted growth,SEIRA-WP-500,Seira™ WP,bio-pesticide,Verticillium lecanii 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 g per litre of water,Foliar spray targeting leaf underside colonies,Every 10-15 days; 2-3 sprays,3,Spray in evening;Avoid mixing with fungicides or bactericides;Store below 25°C,Verticillium lecanii penetrates aphid cuticle; best under humid greenhouse conditions. Rotate with botanicals for resistance management.,10,Dr. Krish
tomato,Tomato,Solanum lycopersicum,early_blight,Early Blight,disease,high,Alternaria solani,concentric ring spots on lower leaves;yellow halo;defoliation from bottom upward,BIOTA-V-WP-1KG,Biota™-V WP,bio-fungicide,Trichoderma viride 1x10^8 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5-10 g per litre of water (drench); 10 g per kg seed (seed treatment),Soil drench around root zone; nursery dip at transplant stage,Every 15-20 days; 2 applications,0,Store cool and dry below 25°C;Do not mix with chemical fungicides;Use within 12 months of opening,Trichoderma viride colonises the rhizosphere and outcompetes Alternaria through mycoparasitism. Apply preventively with adequate soil moisture.,10,Dr. Krish
tomato,Tomato,Solanum lycopersicum,fusarium_wilt,Fusarium Wilt,disease,high,Fusarium oxysporum f.sp. lycopersici,yellowing of lower leaves;wilting during day;vascular browning;plant collapse,NEUVITA-WP-500,Neuvita™ WP,bio-fungicide,Pseudomonas fluorescens 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 g per litre of water,Root-zone drench and nursery transplant dip,Every 10-15 days; 2-3 applications,0,Do not mix with bactericides;Store below 25°C;Apply before disease establishment,"Pseudomonas fluorescens colonises the root zone, produces siderophores and antibiotics that suppress Fusarium. Apply preventively at transplanting.",10,Dr. Krish
tomato,Tomato,Solanum lycopersicum,damping_off,Damping-off,disease,high,Pythium aphanidermatum,seedling collapse at soil line;water-soaked stem base;root rot;seedling death,SUBTILIX-WP-1KG,Subtilix™ WP,bio-fungicide,Bacillus subtilis 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Soil drench and seed treatment,Every 10-15 days; apply preventively at sowing,0,Avoid mixing with fungicides or bactericides;Store below 25°C;Apply before disease pressure,Bacillus subtilis forms biofilm on root surfaces and produces lipopeptides that suppress Pythium. Best used preventively in nursery beds.,10,Dr. Krish
tomato,Tomato,Solanum lycopersicum,root_knot_nematode,Root-knot Nematode,pest,high,Meloidogyne incognita,galls on roots;stunted growth;yellowing;wilting;reduced fruit set,ENCILO-WP-1KG,Encilo™ WP,bio-nematicide,Verticillium chlamydosporium 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water (drench),Soil application and root-zone drench at planting,At planting; repeat after 20-30 days if required,0,Store below 25°C;Avoid mixing with fungicides;Apply preventively at low nematode pressure,"Verticillium chlamydosporium parasitizes nematode eggs in the root zone, reducing juvenile emergence and population carryover between seasons.",10,Dr. Krish
chilli,Chilli,Capsicum annuum,thrips,Thrips / Leaf curl,pest,medium,Scirtothrips dorsalis,upward leaf curl;silvery streaks;bronzing;flower drop,MYCOVA-WP-500,Mycova™ WP,bio-pesticide,Beauveria bassiana 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 g per litre of water,Foliar spray; evening hours preferred for fungal viability,Every 10-15 days; 2-3 sprays,3,Avoid mixing with fungicides;Spray in evening;Wear mask and gloves;Store below 25°C,Beauveria bassiana spores germinate and penetrate thrips cuticle under humid conditions. Early application at infestation onset is critical.,10,Dr. Krish
chilli,Chilli,Capsicum annuum,aphids_chilli,Aphids,pest,medium,Aphis gossypii,curling leaves;sticky honeydew;ant activity;sooty mould;mosaic virus vector,K-GUARD-EC-500,K-Guard™ EC,bio-pesticide,Karanjin 2% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 ml per litre of water,Foliar spray ensuring thorough coverage of leaf undersides,Every 7-10 days; 2-3 sprays,3,Wear mask and gloves;Spray in early morning;Avoid alkaline mixes;Confirm with jar test,Karanjin provides contact and antifeedant activity against aphid colonies; reduces vector pressure for mosaic virus transmission in chilli.,10,Dr. Krish
chilli,Chilli,Capsicum annuum,powdery_mildew_chilli,Powdery Mildew,disease,medium,Leveillula taurica,white powdery patches on upper leaf surface;leaf distortion;premature defoliation,SUBTILIX-WP-1KG,Subtilix™ WP,bio-fungicide,Bacillus subtilis 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Foliar spray targeting leaf surface; ensure thorough coverage,Every 10-15 days; 2-3 sprays from early disease sign,0,Avoid mixing with chemical fungicides;Store below 25°C;Apply preventively,Bacillus subtilis produces iturin and fengycin lipopeptides that suppress powdery mildew sporulation on chilli leaves. Apply at first sign of infection.,10,Dr. Krish
chilli,Chilli,Capsicum annuum,anthracnose_chilli,Anthracnose / Fruit Rot,disease,high,Colletotrichum capsici,sunken water-soaked lesions on fruit;dark acervuli;orange spore masses;fruit rot,ELIXORA-WP-1KG,Elixora™ WP,bio-fungicide,Bacillus amyloliquefaciens 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Foliar spray; cover fruit surface thoroughly,Every 10-15 days; 2-3 sprays during fruit development,0,Do not mix with chemical fungicides;Store below 25°C;Apply preventively before fruit set,Bacillus amyloliquefaciens suppresses Colletotrichum through lipopeptide production. Most effective when applied preventively before anthracnose pressure develops.,10,Dr. Krish
